第0组X15Y-1:靶板中心(510.50, 283.50)光斑质心(510.40, 283.69)偏差: 0.00cm
第1组X15Y0:靶板中心(510.50, 309.50)光斑质心(510.40, 309.44)偏差: 0.12cm
第2组X15Y1:靶板中心(511.99, 308.48)光斑质心(511.97, 308.42)偏差: 0.18cm
第3组X15Y2:靶板中心(513.19, 307.40)光斑质心(513.21, 307.57)偏差: 0.05cm
第4组X15Y3:靶板中心(514.12, 306.51)光斑质心(514.15, 306.97)偏差: 0.31cm
第5组X15Y4:靶板中心(515.00, 306.50)光斑质心(514.79, 306.59)偏差: 0.02cm
第6组X15Y5:靶板中心(514.91, 306.36)光斑质心(515.10, 306.44)偏差: 0.01cm
第7组X15Y6:靶板中心(514.95, 306.41)光斑质心(515.09, 306.52)偏差: 0.03cm
第8组X15Y7:靶板中心(515.01, 306.58)光斑质心(514.77, 306.82)偏差: 0.16cm
第9组X15Y8:靶板中心(514.12, 307.29)光斑质心(514.14, 307.35)偏差: 0.19cm
第10组X15Y9:靶板中心(513.38, 308.02)光斑质心(513.19, 308.10)偏差: 0.01cm
第11组X15Y10:靶板中心(512.09, 308.91)光斑质心(511.94, 309.09)偏差: 0.04cm
第12组X15Y11:靶板中心(510.45, 310.12)光斑质心(510.37, 310.30)偏差: 0.01cm
第13组X15Y12:靶板中心(508.58, 311.60)光斑质心(508.51, 311.76)偏差: 0.03cm
第14组X15Y13:靶板中心(506.48, 313.29)光斑质心(506.33, 313.44)偏差: 0.02cm
第15组X15Y14:靶板中心(503.93, 315.18)光斑质心(503.86, 315.34)偏差: 0.03cm
第16组X15Y15:靶板中心(501.16, 317.30)光斑质心(501.08, 317.50)偏差: 0.02cm
第17组X15Y16:靶板中心(498.09, 319.73)光斑质心(498.01, 319.86)偏差: 0.07cm
第18组X15Y17:靶板中心(494.76, 322.22)光斑质心(494.65, 322.46)偏差: 0.10cm
第19组X15Y18:靶板中心(491.13, 325.11)光斑质心(491.00, 325.31)偏差: 0.07cm
第20组X15Y19:靶板中心(487.22, 328.17)光斑质心(487.07, 328.38)偏差: 0.10cm
第21组X15Y20:靶板中心(482.95, 331.52)光斑质心(482.86, 331.69)偏差: 0.01cm
第22组X15Y21:靶板中心(478.48, 335.04)光斑质心(478.40, 335.21)偏差: 0.00cm
第23组X15Y22:靶板中心(473.76, 338.78)光斑质心(473.64, 338.95)偏差: 0.04cm
第24组X15Y23:靶板中心(468.78, 342.84)光斑质心(468.66, 342.98)偏差: 0.01cm
第25组X15Y24:靶板中心(463.48, 347.01)光斑质心(463.37, 347.19)偏差: 0.05cm
第26组X15Y25:靶板中心(457.96, 351.47)光斑质心(457.87, 351.64)偏差: 0.04cm
第27组X15Y26:靶板中心(452.19, 356.15)光斑质心(452.11, 356.36)偏差: 0.07cm
第28组X15Y27:靶板中心(446.28, 361.03)光斑质心(446.13, 361.22)偏差: 0.11cm
第29组X15Y28:靶板中心(440.01, 366.17)光斑质心(439.94, 366.38)偏差: 0.08cm
第30组X15Y29:靶板中心(433.60, 371.58)光斑质心(433.49, 371.76)偏差: 0.08cm
第31组X15Y30:靶板中心(426.96, 377.18)光斑质心(426.87, 377.33)偏差: 0.02cm
第32组X15Y31:靶板中心(420.12, 382.97)光斑质心(420.00, 383.16)偏差: 0.12cm
第33组X15Y32:靶板中心(413.05, 389.04)光斑质心(412.98, 389.16)偏差: 0.02cm
第34组X15Y33:靶板中心(405.84, 395.27)光斑质心(405.76, 395.44)偏差: 0.08cm
