第0组X15Y-1:靶板中心(510.50, 283.50)光斑质心(510.36, 283.78)偏差: 0.00cm
第1组X15Y0:靶板中心(510.50, 309.50)光斑质心(510.36, 309.52)偏差: 0.21cm
第2组X15Y1:靶板中心(512.00, 308.50)光斑质心(511.92, 308.50)偏差: 0.29cm
第3组X15Y2:靶板中心(513.19, 307.40)光斑质心(513.16, 307.65)偏差: 0.07cm
第4组X15Y3:靶板中心(514.04, 306.47)光斑质心(514.11, 307.07)偏差: 0.36cm
第5组X15Y4:靶板中心(515.00, 306.50)光斑质心(514.74, 306.67)偏差: 0.00cm
第6组X15Y5:靶板中心(515.00, 306.50)光斑质心(515.05, 306.51)偏差: 0.31cm
第7组X15Y6:靶板中心(515.00, 306.50)光斑质心(515.05, 306.60)偏差: 0.25cm
第8组X15Y7:靶板中心(515.00, 306.50)光斑质心(514.72, 306.90)偏差: 0.23cm
第9组X15Y8:靶板中心(514.09, 307.36)光斑质心(514.09, 307.42)偏差: 0.31cm
第10组X15Y9:靶板中心(513.31, 308.01)光斑质心(513.14, 308.19)偏差: 0.07cm
第11组X15Y10:靶板中心(512.10, 308.90)光斑质心(511.89, 309.18)偏差: 0.05cm
第12组X15Y11:靶板中心(510.41, 310.16)光斑质心(510.33, 310.39)偏差: 0.08cm
第13组X15Y12:靶板中心(508.61, 311.62)光斑质心(508.46, 311.85)偏差: 0.04cm
第14组X15Y13:靶板中心(506.32, 313.19)光斑质心(506.28, 313.53)偏差: 0.07cm
第15组X15Y14:靶板中心(503.88, 315.22)光斑质心(503.81, 315.42)偏差: 0.10cm
第16组X15Y15:靶板中心(501.20, 317.32)光斑质心(501.03, 317.58)偏差: 0.03cm
第17组X15Y16:靶板中心(498.12, 319.68)光斑质心(497.97, 319.94)偏差: 0.02cm
第18组X15Y17:靶板中心(494.78, 322.29)光斑质心(494.60, 322.54)偏差: 0.04cm
第19组X15Y18:靶板中心(491.08, 325.14)光斑质心(490.96, 325.40)偏差: 0.01cm
第20组X15Y19:靶板中心(487.13, 328.17)光斑质心(487.02, 328.46)偏差: 0.05cm
第21组X15Y20:靶板中心(482.95, 331.50)光斑质心(482.82, 331.77)偏差: 0.04cm
第22组X15Y21:靶板中心(478.48, 335.03)光斑质心(478.36, 335.29)偏差: 0.02cm
第23组X15Y22:靶板中心(473.69, 338.86)光斑质心(473.60, 339.03)偏差: 0.11cm
第24组X15Y23:靶板中心(468.75, 342.83)光斑质心(468.63, 343.07)偏差: 0.02cm
第25组X15Y24:靶板中心(463.47, 347.04)光斑质心(463.33, 347.27)偏差: 0.02cm
第26组X15Y25:靶板中心(457.96, 351.48)光斑质心(457.83, 351.72)偏差: 0.03cm
第27组X15Y26:靶板中心(452.22, 356.15)光斑质心(452.08, 356.45)偏差: 0.12cm
第28组X15Y27:靶板中心(446.19, 361.03)光斑质心(446.10, 361.29)偏差: 0.04cm
第29组X15Y28:靶板中心(439.99, 366.20)光斑质心(439.91, 366.46)偏差: 0.04cm
第30组X15Y29:靶板中心(433.57, 371.55)光斑质心(433.44, 371.83)偏差: 0.11cm
第31组X15Y30:靶板中心(426.97, 377.16)光斑质心(426.83, 377.40)偏差: 0.08cm
第32组X15Y31:靶板中心(420.09, 382.97)光斑质心(419.95, 383.23)偏差: 0.13cm
第33组X15Y32:靶板中心(413.07, 389.06)光斑质心(412.94, 389.22)偏差: 0.02cm
第34组X15Y33:靶板中心(405.82, 395.27)光斑质心(405.72, 395.51)偏差: 0.08cm
